RTS,TK,rep,Lat,Long,age,ageCat,soil,Pcover,depth11,pH11sum,BD11sum,kgm2Water11sum,EOC11sum,ETN11sum,EON11sum,NH411sum,NO311sum,PO411sum,MBC11sum,MBN11sum,MBP11sum,P11,N11,C11,Nodules11sum,LegumeCover11sum,TN resin fall10,TNresin11,GrossMin11sum,GrossCons11,NetNH4minSum11,NetPminSum11
NE14,TK1,R2,68.67878,149.62306,5,Arecent,Organic,0.43,10,5.13,0.24,6.53,8034.71,690.98,599.66,92.94,0,190.54,12058.5,1239.17,63.07,,60.12,1001.6,0.01,1,118.1251899,0,1392.69,303.35,6.112,-5.547316335
NE14,TK1,R3,68.67873,149.62302,5,Arecent,Organic,0.43,9.5,7.66,0.22,6.53,4987.1,341.92,281.43,59.64,0.84,111.39,8056.3,824.15,295.64,,23.15,702.7,0.21,0,0,0,556.63,211.87,7.955,-2.747272263
NE14,TK1,R4,68.67872,149.6227,5,Arecent,Organic,0.43,10,7.5,0.35,11.2,10565.64,767.08,693.8,66.62,6.67,67.88,4348.34,420.48,138.26,4.83,77.39,1154.09,0,0,33.99118583,4.773,0,0,4.082,1.146851492
NE14,TK1,R5,68.67868,149.62248,5,Arecent,Organic,0.43,7.5,6.58,0.23,4.81,4409.13,304.29,228.51,76.4,0,67.12,3229.48,382.31,43.81,3.07,30.16,473.79,0.23,0,194.1958724,0,451.86,744.5,11.559,3.419957203
NE14,TK1,R6,68.6786,149.62228,5,Arecent,Organic,0.43,9.5,7.34,0.22,6.31,3484.97,288.36,170.79,104.98,12.59,74.57,3745.39,457.3,216.28,2.21,29.83,507.92,0,0,60.9160524,46.428,43.08,56.38,3.166,2.62567667
Itkillik,TK2,R2,68.66683,149.81808,8,Arecent,Organic,0.67,10,6.9,0.1,19.85,10552.69,1072.27,743.44,321.16,7.67,212.58,19859.02,979.1,429.5,,37.17,617.05,0.59,0,42.86678365,0,1295.05,1091.43,5.82,0.529994964
Itkillik,TK2,R3,68.66693,149.81816,8,Arecent,Organic,0.67,7.5,7.37,0.23,15.14,11066.4,1041.85,756.48,272.36,13.01,288.2,13730.33,686.48,190.98,,40.4,828.05,0.19,2,0,0,252.91,421.58,1.89,-3.886209413
Itkillik,TK2,R4,68.667,149.81825,8,Arecent,Organic,0.67,10,7.35,0.21,27.53,15234.67,1190.96,917.78,254.86,18.32,280.87,14259.02,206.65,395.85,2.93,63.36,1039.13,1.01,3,0,0,877.04,544.58,13.758,1.468630153
Itkillik,TK2,R5,68.6671,149.81829,8,Arecent,Organic,0.67,10,7.69,0.22,50.75,11565.31,1267.57,953.78,258,55.79,331.72,34727.64,907.11,469.46,3.5,69.9,1241.86,2.15,6,0,0,423.12,281.02,-2.316,-1.6213429
Itkillik,TK2,R6,68.66717,149.81834,8,Arecent,Organic,0.67,11,7.33,0.17,35.86,22475.18,1735.58,1235.31,494.76,5.51,584.63,76645.71,1368.62,1213.9,2.78,55.35,1074.16,0.11,7,0,0,1184.47,839.88,2.27,-3.888541884
