RTS,TK,resin loc,TN
iminus,1,lower,6096.55
iminus,1,lower,93.65
ne14,1,lower,204.22
ne14,1,lower,660.53
ne14,1,lower,238.74
ne14,1,lower,211.5
iminus,1,upper,322.06
iminus,1,upper,238.44
iminus,1,upper,897
iminus,1,upper,2044.14
iminus,1,upper,233.03
ne14,1,upper,589.8
ne14,1,upper,254.24
ne14,1,upper,344.57
ne14,1,upper,222.82
iminus,2,lower,368.15
iminus,2,lower,509.92
iminus,2,lower,533.28
iminus,2,lower,419.35
iminus,2,lower,402.74
ne14,2,lower,226.55
ne14,2,lower,174.63
ne14,2,lower,245.41
iminus,2,upper,336.8
iminus,2,upper,237.49
iminus,2,upper,497.04
ne14,2,upper,149.46
ne14,2,upper,294.97
ne14,2,upper,256.65
ne14,2,upper,350.36
ne14,2,upper,254.17
iminus,3,lower,370.41
iminus,3,lower,291
iminus,3,lower,208.3
iminus,3,lower,196.69
ne14,3,lower,287.79
ne14,3,lower,142.46
iminus,3,upper,399.61
ne14,3,upper,254.55
ne14,3,upper,311.17
iminus,4,lower,370.34
iminus,4,lower,321.22
iminus,4,lower,240.96
iminus,4,lower,392.94
iminus,4,lower,270.93
ne14,4,lower,345.73
ne14,4,lower,294.91
iminus,4,upper,273.96
iminus,4,upper,399.15
iminus,4,upper,306.52
iminus,4,upper,612.35
ne14,4,upper,110.44
ne14,4,upper,171.57
ne14,4,upper,153.93
